Hash,Filename,MI_Change,CC_Change,LOC_Change,Semantic_Similarity,Token_Similarity,Semantic_class,Token_class,Classes_Agree
1648c6b8423fd3efba86101fc721d4128f06d9ec,Makefile,,,,0.9999796,0.9890225062428616,Minor,Minor,YES
76a433544c758a4ce92c08494d95e9d890da6314,setup.py,,0.0,0.0,1.0,0.9859699510626496,Minor,Minor,YES
11353651f285c5e06475f097692003872d092548,memory_profiler.py,,0.0,10.0,0.9999999,0.989052209846039,Minor,Minor,YES
11353651f285c5e06475f097692003872d092548,mprof.py,,0.0625,2.0,1.0000001,0.996536550636289,Minor,Minor,YES
8b01378de1b7f46c610b23a538422dc5a47fdfc1,mprof.py,,0.0,1.0,1.0000001,0.9991931282804666,Minor,Minor,YES
8b01378de1b7f46c610b23a538422dc5a47fdfc1,README.rst,,,,0.99999994,0.9906618413125058,Minor,Minor,YES
8b01378de1b7f46c610b23a538422dc5a47fdfc1,memory_profiler.py,,0.0,29.0,0.99994314,0.9764808409329484,Minor,Minor,YES
8b01378de1b7f46c610b23a538422dc5a47fdfc1,mprof.py,,0.7767857142857144,217.0,0.99990386,0.746472335271878,Minor,Major,NO
36eade473f52573e71900bf40b0abaf96aeec1a2,memory_profiler.py,,0.0,0.0,1.0,0.9995616277885933,Minor,Minor,YES
3b5e7f2c276961764419d28df8035f63e9622361,memory_profiler.py,,0.0,0.0,1.0,0.9995616277885933,Minor,Minor,YES
68812af610b769d434dc0c46be3e6d6e3a400fec,mprof.py,,0.0,1.0,0.99999994,0.9989216635585372,Minor,Minor,YES
e3fc5eeca800ae9aba3bb373c2d045a5c4767cb9,memory_profiler.py,,0.0,8.0,1.0,0.9935136771445144,Minor,Minor,YES
d077d1ea0866b8808847c6797093cf4ca5b54647,mprof.py,,0.0,-1.0,0.9999999,0.9984990889606836,Minor,Minor,YES
93371d6d4d9ea5f70522a807dac27f2633d0717c,memory_profiler.py,,0.0523182957393486,-2.0,0.9997746,0.9973775708565564,Minor,Minor,YES
93371d6d4d9ea5f70522a807dac27f2633d0717c,memory_profiler.py,,0.0,0.0,1.0,0.9994693274216,Minor,Minor,YES
cedd23862c37a138d395445ace04f436a7c97f59,memory_profiler.py,,0.0,0.0,0.99999976,0.9994696401409908,Minor,Minor,YES
c0911004a761252dbf683328dc5fb3b214fb5248,memory_profiler.py,,0.0,0.0,0.99999976,0.9994696401409908,Minor,Minor,YES
c5f79b82aa2ab6b905b30c4295e68315078320fd,.gitignore,,,3.0,0.9984809,0.8178468362110028,Minor,Minor,YES
c5f79b82aa2ab6b905b30c4295e68315078320fd,Makefile,,,,0.99943376,0.787955740007034,Minor,Minor,YES
c5f79b82aa2ab6b905b30c4295e68315078320fd,README.rst,,,,0.9998248,0.9915157223564712,Minor,Minor,YES
c5f79b82aa2ab6b905b30c4295e68315078320fd,memory_profiler.py,,0.0892857142857144,24.0,0.9998683,0.9686897118267868,Minor,Minor,YES
c5f79b82aa2ab6b905b30c4295e68315078320fd,setup.py,,0.0,-3.0,0.99975187,0.9236118127654546,Minor,Minor,YES
c5f79b82aa2ab6b905b30c4295e68315078320fd,test/test_mprofile.py,,0.0,16.0,0.982825,0.3504619145122853,Minor,Major,NO
c5f79b82aa2ab6b905b30c4295e68315078320fd,test/test_tracemalloc.py,,-0.3333333333333335,-2.0,0.9996058,0.8593108495271323,Minor,Minor,YES
c5f79b82aa2ab6b905b30c4295e68315078320fd,memory_profiler.py,,0.0523182957393486,-2.0,0.9997746,0.9973766432743147,Minor,Minor,YES
19165e76a4da2bfe819d1f606ef0f3f468f3ab40,mprof.py,,,,1.0,0.9995217278406896,Minor,Minor,YES
957ff4e3b66da5b7d7472c232738419f3ca8a9bf,memory_profiler.py,,0.0,-2.0,0.9999999,0.9930400863119084,Minor,Minor,YES
957ff4e3b66da5b7d7472c232738419f3ca8a9bf,test/test_tracemalloc.py,,-0.3333333333333335,-2.0,0.9996058,0.8593108495271323,Minor,Minor,YES
957ff4e3b66da5b7d7472c232738419f3ca8a9bf,README.rst,,,,0.9997992,0.9925907452665124,Minor,Minor,YES
957ff4e3b66da5b7d7472c232738419f3ca8a9bf,memory_profiler.py,,0.0,0.0,0.9999982,0.9997052494957924,Minor,Minor,YES
957ff4e3b66da5b7d7472c232738419f3ca8a9bf,setup.py,,0.0,-3.0,0.99975187,0.9236118127654546,Minor,Minor,YES
e37acbd9c31d67a967ea61ec1acae31ea7d472f7,README.rst,,,,0.9999412,0.9985309825563836,Minor,Minor,YES
f8f5fa3502c0449c60aaa713ea24c8c6733b280f,setup.py,,0.0,0.0,1.0000001,0.9933583017386124,Minor,Minor,YES
5fe38da926738a7715c860053a498859e2db0c87,memory_profiler.py,,0.0,-2.0,0.99999994,0.9930400863119084,Minor,Minor,YES
5fe38da926738a7715c860053a498859e2db0c87,test/test_tracemalloc.py,,-0.3333333333333335,-2.0,0.9996058,0.8593108495271323,Minor,Minor,YES
95300297e2023f6a3f50f9b016516699a1a95dc9,.gitignore,,,3.0,0.9984809,0.8178468362110028,Minor,Minor,YES
95300297e2023f6a3f50f9b016516699a1a95dc9,Makefile,,,,0.99968773,0.8785876243625522,Minor,Minor,YES
95300297e2023f6a3f50f9b016516699a1a95dc9,memory_profiler.py,,0.0,3.0,0.9998802,0.99739506582383,Minor,Minor,YES
95300297e2023f6a3f50f9b016516699a1a95dc9,test/test_mprofile.py,,0.0,16.0,0.982825,0.3504619145122853,Minor,Major,NO
d320c1d934a726fad108a36c76c18e98f39f25ba,memory_profiler.py,,0.0,0.0,0.9999999,0.9991801838386024,Minor,Minor,YES
429e5bbb2470c05077430fec6f155cce46cada05,memory_profiler.py,,0.0,0.0,0.9999999,0.9991801838386024,Minor,Minor,YES
7b920986cb361d0f852a0a6a6962080daa07ac89,memory_profiler.py,,0.0507518796992481,-2.0,0.9998195,0.997332933756808,Minor,Minor,YES
51062935126916da3bb36923224dc71182f55f85,README.rst,,,,1.0,0.999407688121848,Minor,Minor,YES
76e271f6f9c73c7580b1e2fabfcb14c661b271d6,README.rst,,,,1.0,0.999407688121848,Minor,Minor,YES
2c7ed3124638fd89acd82e7331351fa09ab27e03,memory_profiler.py,,0.0,0.0,0.9999996,0.9997003386063286,Minor,Minor,YES
480ba0d6d8fd85e9c2962f3a44282e9873f2bce1,memory_profiler.py,,0.0,4.0,0.9992483,0.9952657486060088,Minor,Minor,YES
480ba0d6d8fd85e9c2962f3a44282e9873f2bce1,setup.py,,0.0,5.0,0.99975187,0.9298515097704652,Minor,Minor,YES
a563dd0f4d752aebce7a6637e664a813e46df08c,setup.py,,0.0,5.0,0.99975187,0.9298515097704652,Minor,Minor,YES
ba586d1d48b2d78663999c8c0b7dfa992b818152,memory_profiler.py,,0.0,4.0,0.9992483,0.9952657486060088,Minor,Minor,YES
a3c4b58ca3f9a18559f7ef6fea1651c72f06ef1c,README.rst,,,,0.9998632,0.9955978954531656,Minor,Minor,YES
a3c4b58ca3f9a18559f7ef6fea1651c72f06ef1c,memory_profiler.py,,-0.0526315789473681,-17.0,0.9996181,0.9898103409522516,Minor,Minor,YES
a3c4b58ca3f9a18559f7ef6fea1651c72f06ef1c,setup.py,,0.0,1.0,0.999845,0.9683162003222872,Minor,Minor,YES
e2a97b936de6c4c8473c74cdd800c7271435934e,README.rst,,,,1.0,0.999405292806988,Minor,Minor,YES
176743215545c2384e8a6e29b64a0b1dd21d1543,README.rst,,,,1.0,0.999405292806988,Minor,Minor,YES
5005a6244bf29b9bfb1255682d19a98c1f409443,memory_profiler.py,,0.0,0.0,1.0000001,0.999570708269186,Minor,Minor,YES
099c5c88f1731e971094d7a0da6b02103ab8e479,README.rst,,,,1.0,0.9951743233995004,Minor,Minor,YES
4fe1d5725fbc01d32ce0bfb1781b449fef7b6049,memory_profiler.py,,0.0,-4.0,0.99999994,0.9953349832110772,Minor,Minor,YES
a9e5a026a1c5a588ce0c51101af966980b9e3311,memory_profiler.py,,0.0,3.0,0.99999994,0.9969612408763706,Minor,Minor,YES
a6d4ea45d7a21f30c6adb37985792b06394ca25a,memory_profiler.py,,0.0,0.0,0.99999994,0.9996757773098904,Minor,Minor,YES
fe3027f4099de7e69053b5b6729d660b3059c431,memory_profiler.py,,0.0,0.0,0.99999994,0.9996757773098904,Minor,Minor,YES
5a92a5f7ae7d90d7bd561ce5e66d7bde81855d03,memory_profiler.py,,0.0,1.0,0.99999994,0.9990273949895864,Minor,Minor,YES
386a0bfd0f4532d887b800bce928e559c30137c9,memory_profiler.py,,0.0178571428571427,1.0,0.99999994,0.9994159699474848,Minor,Minor,YES
036bd76bcb721fdddec0a8f780bef86c07180547,memory_profiler.py,,0.0,0.0,0.99999994,0.9996752466311536,Minor,Minor,YES
946aa5e006916fb752b3060dbc83b68790e0762b,memory_profiler.py,,0.0175438596491228,-9.0,0.9998584,0.9880931338990326,Minor,Minor,YES
eba604c1ab7dec31dd561329b79efa7fd45fbeda,memory_profiler.py,,0.0,-6.0,1.0,0.9949353016149682,Minor,Minor,YES
4a268812c97ce2b550d38b7812fc6eabec16a858,memory_profiler.py,,0.0,-3.0,1.0,0.998185138547772,Minor,Minor,YES
636b3448d272b2b66a509ae16ad210471bd87f58,memory_profiler.py,,0.0,0.0,1.0,0.9993518697982652,Minor,Minor,YES
4565b8f559f931473f495e96130250da418a3179,memory_profiler.py,,0.0175438596491228,-5.0,0.99989986,0.9929943296312608,Minor,Minor,YES
e0b37a5336ca9b22978d7d4966cf8bd5c5bddb99,memory_profiler.py,,0.0,42.0,0.99985975,0.9988974492710744,Minor,Minor,YES
e0b37a5336ca9b22978d7d4966cf8bd5c5bddb99,test/test_tracemalloc.py,,0.0,4.0,0.9989964,0.9842013739712654,Minor,Minor,YES
361c75133663bbf31a40d00f5614916fc5bde1a2,memory_profiler.py,,0.0,0.0,0.99999994,0.9994159193782768,Minor,Minor,YES
d0c8a3943ffeee25d96b7d65e158fe405728ba4c,memory_profiler.py,,0.0175438596491228,2.0,0.99999994,0.9989943348499056,Minor,Minor,YES
30a1617b636e9ae470705d433f76a34094716521,memory_profiler.py,,0.0,12.0,0.99999994,0.99009657245422,Minor,Minor,YES
9e83dfc23236306c0279190fd97ed59135bebece,memory_profiler.py,,0.0175438596491228,0.0,0.99999994,0.9995411619614788,Minor,Minor,YES
f836d57d50b416af9fd124c4acecf9a57f8b9ea6,memory_profiler.py,,0.0,0.0,0.99996185,0.999342977729392,Minor,Minor,YES
5db8084a3d88868632a6d1d0abed665782c103ce,memory_profiler.py,,0.0,0.0,1.0,0.9989045096964836,Minor,Minor,YES
5db8084a3d88868632a6d1d0abed665782c103ce,test/test_unicode.py,,0.0,-6.0,0.996306,0.3672517217189927,Minor,Major,NO
cc593b316c7b61b4d37ae81282fa6898b59d5879,test/test_unicode.py,,0.0,0.0,0.9999632,0.957414465780703,Minor,Minor,YES
b2b936c2200b49482ce87faaadca966d8828df8e,memory_profiler.py,,-0.0501508295625945,1.0,0.9998257,0.998172608005435,Minor,Minor,YES
fdf9ef3ab33bb8b57857979a91571728376fa762,memory_profiler.py,,0.0,2.0,1.0000001,0.9948497683384572,Minor,Minor,YES
909017dea183338da8d72ad2cc2a6f266015cf07,memory_profiler.py,,0.0,0.0,1.0000001,0.9989576795345482,Minor,Minor,YES
fdab5be7fe335f834b60f7beee1632f72a96eb4c,examples/numpy_example.py,,0.0,0.0,0.9999723,0.974153035222828,Minor,Minor,YES
fdab5be7fe335f834b60f7beee1632f72a96eb4c,memory_profiler.py,,0.0,0.0,0.9999988,0.999603221813054,Minor,Minor,YES
0e53367d24128ed4960c0f8210e8d046303c2a9d,memory_profiler.py,,0.0465116279069768,5.0,0.9998727,0.993850639396438,Minor,Minor,YES
4da80112472c1eea5a90d86059220027e08f90fd,README.rst,,,,1.0000002,0.9984119413526774,Minor,Minor,YES
829c379a22313be9ddfa2e2dd1624e513787f38a,README.rst,,,,1.0000002,0.9984119413526774,Minor,Minor,YES
f1b961525eddc11c001300844519bf92872dfe6a,memory_profiler.py,,0.0,-1.0,1.0000001,0.9993909070629562,Minor,Minor,YES
f1b961525eddc11c001300844519bf92872dfe6a,test/test_as.py,,0.0,0.0,0.9997686,1.0000000000000004,Minor,Minor,YES
1f9f63aedb233c74ed8a0f98756b1fb8052f31fd,memory_profiler.py,,0.0,-1.0,1.0000001,0.995650450920714,Minor,Minor,YES
f6924d68df5b05bd3f31d5c02c62c032d7e97b86,memory_profiler.py,,0.0,0.0,1.0,0.9986076965786004,Minor,Minor,YES
1e911e3dff9efd9c1822e7695024a3af2dc80726,memory_profiler.py,,0.0,0.0,1.0,0.9995645926425984,Minor,Minor,YES
6de83c296a9d7ca2d6c55aee19a4285674fd8dd1,memory_profiler.py,,0.0,0.0,1.0,0.9995645926425984,Minor,Minor,YES
34e7f9b9aac5acb612f12a6d32c9cfacf38df777,Makefile,,,,0.9997123,0.879165542644273,Minor,Minor,YES
34e7f9b9aac5acb612f12a6d32c9cfacf38df777,memory_profiler.py,,-0.0526315789473685,-8.0,1.0,0.9876292241982172,Minor,Minor,YES
34e7f9b9aac5acb612f12a6d32c9cfacf38df777,test/test_import.py,,0.0,1.0,0.9997757,1.0000000000000004,Minor,Minor,YES
9f91aa03aaf45d73ee32586a054a5f0044fae7ef,Makefile,,,,0.9997123,0.879165542644273,Minor,Minor,YES
